Name,Team,League,Goals,Assists,Minutes_Played,Interceptions,Tackles
Lionel Messi,Inter Miami,MLS,16,10,2100,12,8
Cristiano Ronaldo,Al Nassr,Saudi Pro League,22,7,2300,5,3
Kylian Mbappe,PSG,Ligue 1,25,6,2000,9,6
Erling Haaland,Man City,Premier League,30,5,2200,4,2
Jude Bellingham,Real Madrid,La Liga,14,6,2100,18,28
Kevin De Bruyne,Man City,Premier League,7,16,1900,10,12
Vinicius Jr,Real Madrid,La Liga,12,9,1850,6,8
Mohamed Salah,Liverpool,Premier League,19,10,2200,8,5
Rodri,Man City,Premier League,4,7,2400,40,55
NGolo Kante,Al-Ittihad,Saudi Pro League,2,4,2100,50,62
Harry Kane,Bayern Munich,Bundesliga,20,4,2000,3,1
Son Heung-min,Tottenham,Premier League,18,5,2100,7,4
Marcus Rashford,Manchester United,Premier League,15,8,2000,6,3
Bruno Fernandes,Manchester United,Premier League,10,12,2100,5,6
Karim Benzema,Al-Ittihad,Saudi Pro League,12,3,1800,2,1
Sadio Mane,Al Nassr,Saudi Pro League,14,2,1900,3,2
Luka Modric,Real Madrid,La Liga,5,8,2000,15,20
Neymar,Al Hilal,Saudi Pro League,8,5,2100,4,3
Antoine Griezmann,Atletico Madrid,La Liga,11,7,2000,6,4
Gavi,Barcelona,La Liga,6,9,2100,7,5
Alphonso Davies,Bayern Munich,Bundesliga,3,2,2200,20,25
Jamal Musiala,Bayern Munich,Bundesliga,9,6,2000,4,3
Pedri,Barcelona,La Liga,7,10,2100,8,6
Bukayo Saka,Arsenal,Premier League,11,7,2000,5,4
